Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2016","2016","%","3.199958","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22008","Gross Domestic Product","2016","2016","%","4.253833","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2016","2016","%","2.474094","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","2016","2016","%","3.199958","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","2016","2016","%","1.43821","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22008","Gross Domestic Product","2017","2017","million SLC","5702124","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22008","Gross Domestic Product","2017","2017","million USD","3297.826848","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6119","Value US$ per capita","22008","Gross Domestic Product","2017","2017","USD","286.599032","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2017","2017","million SLC","4733967.921802","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","2017","2017","USD","261.726518","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2017","2017","million USD","3011.624748","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","2017","2017","%","17.613217","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2017","2017","%","3.832391","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22008","Gross Domestic Product","2017","2017","%","12.550477","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2017","2017","%","9.935843","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","2017","2017","%","3.832391","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","2017","2017","%","1.420284","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22008","Gross Domestic Product","2018","2018","million SLC","5914372","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22008","Gross Domestic Product","2018","2018","million USD","3317.319375","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6119","Value US$ per capita","22008","Gross Domestic Product","2018","2018","USD","279.71959","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2018","2018","million SLC","4985183.22708","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","2018","2018","USD","267.419006","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2018","2018","million USD","3171.441258","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","2018","2018","%","3.722262","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2018","2018","%","5.306654","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22008","Gross Domestic Product","2018","2018","%","0.591072","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2018","2018","%","-2.400372","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","2018","2018","%","5.306654","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","2018","2018","%","2.174976","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22008","Gross Domestic Product","2019","2019","million SLC","6217043","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22008","Gross Domestic Product","2019","2019","million USD","3368.533752","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","USD","274.862608","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2019","2019","million SLC","5207525.153187","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","2019","2019","USD","270.322181","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2019","2019","million USD","3312.88929","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","2019","2019","%","5.117551","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2019","2019","%","4.460055","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","1.543848","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","-1.736375","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","2019","2019","%","4.460055","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","2019","2019","%","1.085628","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22008","Gross Domestic Product","2020","2020","million SLC","6609536.05606","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","3451.371638","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","USD","273.548529","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2020","2020","million SLC","5224561.930661","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","2020","2020","USD","263.431731","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2020","2020","million USD","3323.727635","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","2020","2020","%","6.313179","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2020","2020","%","0.327157","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","2.459167","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2020","2020","%","-0.478086","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","2020","2020","%","0.327157","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","2020","2020","%","-2.548977","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22008","Gross Domestic Product","2021","2021","million SLC","7394797.719529","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22008","Gross Domestic Product","2021","2021","million USD","3742.399565","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6119","Value US$ per capita","22008","Gross Domestic Product","2021","2021","USD","288.643315","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2021","2021","million SLC","5386523.350445","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","2021","2021","USD","264.298954","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2021","2021","million USD","3426.763192","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","2021","2021","%","11.880738","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2021","2021","%","3.1","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22008","Gross Domestic Product","2021","2021","%","8.43224","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2021","2021","%","5.518138","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","2021","2021","%","3.1","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","2021","2021","%","0.329202","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22008","Gross Domestic Product","2022","2022","million SLC","8912186.193067","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22008","Gross Domestic Product","2022","2022","million USD","4380.945351","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","328.872704","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2022","2022","million SLC","5486120.137002","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","2022","2022","USD","261.999736","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2022","2022","million USD","3490.124024","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","2022","2022","%","20.519675","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2022","2022","%","1.848999","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22008","Gross Domestic Product","2022","2022","%","17.06247","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2022","2022","%","13.937405","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","2022","2022","%","1.848999","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","2022","2022","%","-0.869931","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22008","Gross Domestic Product","2023","2023","million SLC","10194042.42122","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22008","Gross Domestic Product","2023","2023","million USD","3960.309821","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6119","Value US$ per capita","22008","Gross Domestic Product","2023","2023","USD","289.2965","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2023","2023","million SLC","5634245.413456","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","2023","2023","USD","261.833567","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2023","2023","million USD","3584.357394","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","2023","2023","%","14.383185","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2023","2023","%","2.700001","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22008","Gross Domestic Product","2023","2023","%","-9.601479","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2023","2023","%","-12.033898","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","2023","2023","%","2.700001","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","2023","2023","%","-0.063423","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22008","Gross Domestic Product","2024","2024","million SLC","12479009.261156","E","Estimated value",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22008","Gross Domestic Product","2024","2024","million USD","4341.703954","E","Estimated value",""
"MK","Macro Indicators","108","Burundi","6119","Value US$ per capita","22008","Gross Domestic Product","2024","2024","USD","309.066778","E","Estimated value",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2024","2024","million SLC","5875510.706315","E","Estimated value",""
"MK","Macro Indicators","108","Burundi","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","2024","2024","USD","266.080646","E","Estimated value",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22008","Gross Domestic Product","2024","2024","million USD","3737.84397","E","Estimated value",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","2024","2024","%","22.414728","E","Estimated value",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","2024","2024","%","4.282123","E","Estimated value",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22008","Gross Domestic Product","2024","2024","%","9.630411","E","Estimated value",""
"MK","Macro Indicators","108","Burundi","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2024","2024","%","6.833915","E","Estimated value",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","2024","2024","%","4.282123","E","Estimated value",""
"MK","Macro Indicators","108","Burundi","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","2024","2024","%","1.622053","E","Estimated value",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22015","Gross Fixed Capital Formation","2015","2015","million SLC","543813","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22015","Gross Fixed Capital Formation","2015","2015","million USD","345.959397","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2015","2015","million SLC","543813","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22015","Gross Fixed Capital Formation","2015","2015","million USD","345.959397","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6103","Share of GDP US$","22015","Gross Fixed Capital Formation","2015","2015","%","12.309393","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6187","Share of GDP US$, 2015 prices","22015","Gross Fixed Capital Formation","2015","2015","%","12.309393","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61570","Share of GDP Standard Local Currency","22015","Gross Fixed Capital Formation","2015","2015","%","12.309393","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61860","Share of GDP Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2015","2015","%","12.309393","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22015","Gross Fixed Capital Formation","2015","2015","%","-10.098248","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2015","2015","%","-12.264402","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22015","Gross Fixed Capital Formation","2015","2015","%","-11.540182","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22015","Gross Fixed Capital Formation","2015","2015","%","-12.264402","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22015","Gross Fixed Capital Formation","2016","2016","million SLC","650153","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22015","Gross Fixed Capital Formation","2016","2016","million USD","392.930329","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2016","2016","million SLC","571834","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22015","Gross Fixed Capital Formation","2016","2016","million USD","363.785614","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6103","Share of GDP US$","22015","Gross Fixed Capital Formation","2016","2016","%","13.410193","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6187","Share of GDP US$, 2015 prices","22015","Gross Fixed Capital Formation","2016","2016","%","12.54231","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61570","Share of GDP Standard Local Currency","22015","Gross Fixed Capital Formation","2016","2016","%","13.410193","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61860","Share of GDP Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2016","2016","%","12.54231","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22015","Gross Fixed Capital Formation","2016","2016","%","19.554516","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2016","2016","%","5.15269","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22015","Gross Fixed Capital Formation","2016","2016","%","13.577007","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22015","Gross Fixed Capital Formation","2016","2016","%","5.15269","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22015","Gross Fixed Capital Formation","2017","2017","million SLC","781817","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22015","Gross Fixed Capital Formation","2017","2017","million USD","452.164333","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2017","2017","million SLC","600639.735472","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22015","Gross Fixed Capital Formation","2017","2017","million USD","382.111058","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6103","Share of GDP US$","22015","Gross Fixed Capital Formation","2017","2017","%","13.710979","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6187","Share of GDP US$, 2015 prices","22015","Gross Fixed Capital Formation","2017","2017","%","12.687871","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61570","Share of GDP Standard Local Currency","22015","Gross Fixed Capital Formation","2017","2017","%","13.710979","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61860","Share of GDP Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2017","2017","%","12.687871","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22015","Gross Fixed Capital Formation","2017","2017","%","20.251233","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2017","2017","%","5.03743","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22015","Gross Fixed Capital Formation","2017","2017","%","15.074938","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22015","Gross Fixed Capital Formation","2017","2017","%","5.03743","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22015","Gross Fixed Capital Formation","2018","2018","million SLC","840668","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22015","Gross Fixed Capital Formation","2018","2018","million USD","471.523307","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2018","2018","million SLC","634022.224962","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22015","Gross Fixed Capital Formation","2018","2018","million USD","403.348112","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6103","Share of GDP US$","22015","Gross Fixed Capital Formation","2018","2018","%","14.213986","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6187","Share of GDP US$, 2015 prices","22015","Gross Fixed Capital Formation","2018","2018","%","12.718133","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61570","Share of GDP Standard Local Currency","22015","Gross Fixed Capital Formation","2018","2018","%","14.213986","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61860","Share of GDP Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2018","2018","%","12.718133","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22015","Gross Fixed Capital Formation","2018","2018","%","7.527465","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2018","2018","%","5.557822","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22015","Gross Fixed Capital Formation","2018","2018","%","4.281402","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22015","Gross Fixed Capital Formation","2018","2018","%","5.557822","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6224","Value Standard Local Currency","22015","Gross Fixed Capital Formation","2019","2019","million SLC","812700","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6110","Value US$","22015","Gross Fixed Capital Formation","2019","2019","million USD","440.339142","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6225","Value Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2019","2019","million SLC","629630.584723","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6184","Value US$, 2015 prices","22015","Gross Fixed Capital Formation","2019","2019","million USD","400.554267","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6103","Share of GDP US$","22015","Gross Fixed Capital Formation","2019","2019","%","13.072131","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6187","Share of GDP US$, 2015 prices","22015","Gross Fixed Capital Formation","2019","2019","%","12.090783","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61570","Share of GDP Standard Local Currency","22015","Gross Fixed Capital Formation","2019","2019","%","13.072131","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61860","Share of GDP Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2019","2019","%","12.090783","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61550","Annual growth Standard Local Currency","22015","Gross Fixed Capital Formation","2019","2019","%","-3.326878","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","61810","Annual growth Standard Local Currency, 2015 prices","22015","Gross Fixed Capital Formation","2019","2019","%","-0.692663","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6129","Annual growth US$","22015","Gross Fixed Capital Formation","2019","2019","%","-6.613494","X","Figure from international organizations",""
"MK","Macro Indicators","108","Burundi","6182","Annual growth US$, 2015 prices","22015","Gross Fixed Capital Formation","2019","2019","%","-0.692663","X","Figure from international organizations",""
